DATE	11/13/2017	11/13/2017	11/13/2017	11/13/2017	11/13/2017	11/13/2017	11/13/2017	11/13/2017	11/14/2017	11/14/2017	11/14/2017	11/14/2017	11/14/2017	11/14/2017	11/14/2017	11/14/2017	11/14/2017	11/14/2017	11/14/2017	11/14/2017	11/14/2017	11/14/2017	11/14/2017	11/14/2017	11/14/2017	11/15/2017	11/15/2017	11/15/2017	11/15/2017	11/15/2017	11/15/2017	11/15/2017	11/20/2017	11/20/2017	11/20/2017	11/20/2017	11/20/2017	11/20/2017	11/20/2017	11/20/2017	11/20/2017	11/20/2017	11/20/2017	11/20/2017	11/7/17	11/7/17	11/7/17	11/7/17	11/7/17	11/7/17	11/7/17	11/7/17	11/7/17	11/7/17	11/7/17	11/7/17	11/2/17	11/2/17	11/2/17	11/2/17	11/2/17	11/2/17	11/9/17	11/9/17	11/9/17	11/9/17	11/9/17	11/9/17	11/9/17	11/9/17	11/9/17	11/9/17	11/9/17	11/9/17	11/8/17	11/8/17	11/9/17	11/9/17	11/9/17	11/9/17	11/9/17	11/9/17	11/9/17	11/9/17	11/15/2017	11/15/2017	11/15/2017	11/15/2017	11/15/2017	11/15/2017
"Chrysocephalum apiculatum"	C	9	B	11	D	20	C	16	B	22	A	11	A	10	A	24	A	20	C	23	C	17	C	18	13	B	A	4	7	A	A	16	A	11	A	4	B	14	A	16	A	18	A	1	C	20	A	5	B	8	C	14	A	2	A	6	NA	NA	NA	NA	NA	NA	D	18	D	13	B	5	B	13	A	3	B	8	A	7	A	2	A	6	A	22	B	16	A	20	14	B	B	33
"Convolvulus angustissimus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	A	NA	NA	NA	NA	NA	NA	A	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	2	A	6	A	2	A	3	A	4	NA	NA	A	5	A	1	NA	NA	NA	NA	A	3	A	1	NA	NA	A	2	A	1	NA	NA	NA	NA	A	3	NA	NA	NA	NA	NA	NA	3	NA	NA	NA
"Goodenia pinnatifida"	NA	NA	A	18	A	14	A	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	A	56	24	NA	NA	NA	A	1	A	15	A	26	A	18	NA	NA	NA	NA	A	1	A	49	A	2	A	3	A	1	A	14	B	112	A	40	A	6	A	23	A	34	A	21	A	14	NA	NA	A	12	A	38	A	3	A	21	NA	NA	NA	NA	A	18	NA	NA	NA	NA
"Hypericum perforatum"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	21	A	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	26	NA	NA	NA	NA	NA	NA
"Hypochaeris radicata"	A	1	A	7	A	3	A	2	A	W	A	8	A	W	A	W	A	W	A	11	A	1	NA	NA	6	A	A	2	8	B	A	W	A	5	A	14	A	6	A	6	A	7	A	3	B	9	A	W	A	W	A	6	A	11	A	12	C	64	B	45	A	13	A	3	A	6	A	7	A	W	NA	NA	A	W	A	7	A	26	NA	NA	A	13	A	16	A	1	14	A	A	14
"Lomandra filiformis coriacea"	NA	NA	A	2	A	1	A	1	A	1	NA	NA	A	3	NA	NA	A	1	A	3	NA	NA	NA	NA	NA	A	NA	NA	5	A	A	9	A	1	A	3	A	3	A	4	A	8	A	3	NA	NA	A	2	A	1	NA	NA	NA	NA	NA	NA	A	2	A	15	A	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	1	NA	NA	A	2	NA	NA	NA	NA	NA	NA	A	4	2	A	A	1
"Oxalis perennans"	A	2	A	2	NA	NA	NA	NA	A	1	A	2	A	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	A	A	10	NA	A	NA	NA	NA	NA	A	1	A	1	A	2	NA	NA	NA	NA	A	1	A	1	A	1	A	1	A	1	NA	NA	NA	NA	A	2	A	1	NA	NA	A	2	A	2	NA	NA	A	4	NA	NA	A	2	NA	NA	NA	NA	A	1	A	2	A	2	NA	A	A	3
"Panicum effusum"	NA	NA	NA	NA	NA	NA	NA	NA	A	9	A	2	A	W	A	2	A	1	A	6	NA	NA	NA	NA	4	A	A	6	8	A	A	6	NA	NA	NA	NA	A	7	A	3	A	8	A	W	NA	NA	NA	NA	NA	NA	A	1	NA	NA	NA	NA	NA	NA	A	5	A	9	A	6	A	12	A	5	A	2	A	9	A	4	NA	NA	NA	NA	A	6	A	1	NA	NA	A	7	5	A	A	8
"Petrorhagia nanteuilii"	A	11	A	W	NA	NA	NA	NA	A	1	A	1	A	1	NA	NA	NA	NA	NA	NA	A	6	A	12	W	NA	A	11	X	A	A	W	NA	NA	NA	NA	NA	NA	A	W	NA	NA	NA	NA	NA	NA	NA	NA	A	10	A	3	A	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	4	NA	NA	NA	NA	NA	NA	A	W	NA	NA	NA	NA	A	7	4	A	A	W
"Plantago lanceolata"	A	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	3	A	15	NA	NA	A	W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	14	A	2	A	1	NA	NA	NA	NA	NA	NA
"Rytidosperma carphoides"	A	W	B	W	A	W	B	W	B	X	B	W	B	X	C	X	A	W	B	X	B	W	B	W	X	B	A	W	W	A	A	W	A	W	A	10	B	W	A	5	A	W	A	W	A	W	A	W	A	W	A	W	A	W	A	W	NA	NA	NA	NA	B	W	A	W	A	1	B	W	A	13	A	W	A	W	B	W	A	2	NA	NA	B	X	A	W	B	X	X	B	C	W
"Rytidosperma sp "	A	3	A	12	A	4	A	3	A	W	A	3	NA	NA	A	W	A	W	A	4	B	W	B	W	NA	A	NA	NA	W	A	A	W	B	W	B	W	A	2	B	W	A	2	A	4	A	7	A	5	A	6	A	W	A	W	A	3	A	1	A	2	NA	NA	A	5	A	7	A	5	A	8	A	7	A	6	A	W	A	W	A	W	A	4	A	W	NA	NA	1	A	A	2
"Trifolium arvense"	A	3	A	4	NA	NA	A	1	A	9	A	5	A	4	NA	NA	A	2	NA	NA	NA	NA	A	2	1	NA	A	7	7	NA	A	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	2	NA	NA	A	2	A	2	A	4	A	2	A	3	A	2	A	4	A	12	A	2	A	4	2	NA	NA	NA
"Trifolium campestre"	A	15	A	5	A	7	A	5	NA	NA	NA	NA	A	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	2	NA	NA	A	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	14	NA	NA	NA	NA	A	4	A	1	A	7	NA	NA	NA	NA	NA	NA	A	12	A	5	A	13	A	3	A	5	A	7	A	1	A	W	A	12	A	14	A	16	A	2	NA	NA	NA	NA
"Trifolium subterraneum"	A	1	A	2	A	2	A	5	A	6	A	7	NA	NA	NA	NA	NA	NA	NA	NA	A	1	NA	NA	5	NA	A	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	1	A	16	A	15	A	19	A	1	A	1	A	1	A	2	A	7	A	4	A	3	A	1	A	2	NA	NA	NA	NA	A	1	4	NA	NA	NA
"Triptilodiscus pygmaeus"	A	18	NA	NA	NA	NA	NA	NA	A	1	A	8	A	1	NA	NA	NA	NA	A	2	NA	NA	NA	NA	NA	A	A	9	NA	A	A	6	NA	NA	NA	NA	A	7	NA	NA	A	3	A	4	NA	NA	A	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	2	NA	NA	NA	NA	NA	NA	NA	NA	A	9	NA	NA	NA	NA	NA	NA	A	12	NA	NA	NA	NA	A	23	NA	A	NA	NA
"Vulpia sp."	A	W	A	Y	A	Y	A	X	B	Y	A	Y	A	Y	A	X	A	W	A	W	A	W	A	6	X	A	A	X	W	A	A	W	NA	NA	NA	NA	A	W	A	2	A	5	A	X	A	W	A	W	A	5	A	2	NA	NA	A	1	A	Y	A	Y	A	Y	A	W	A	W	A	X	A	Y	A	W	A	Y	A	Y	A	X	A	X	A	Y	A	X	A	W	Y	A	A	X
"Wahlenbergia sp."	A	9	A	65	NA	NA	NA	NA	NA	NA	A	7	A	3	NA	NA	NA	NA	NA	NA	NA	NA	A	5	NA	A	A	12	NA	A	NA	NA	NA	NA	A	2	NA	NA	NA	NA	A	1	A	2	NA	NA	A	1	A	12	NA	NA	NA	NA	NA	NA	A	1	NA	NA	A	2	NA	NA	A	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Acaena ovina"	A	1	A	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	1	A	1	NA	NA	A	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	2	NA	NA	NA	NA	A	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Aristida ramosa"	NA	NA	NA	NA	NA	NA	NA	NA	A	1	A	2	A	7	A	4	A	2	A	3	NA	NA	NA	NA	NA	A	A	8	2	A	NA	NA	NA	NA	A	1	A	W	A	W	A	5	A	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	10	NA	A	A	4
"Arthropodium fimbriatum"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	22	B	82	A	56	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Austrostipa densiflora"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Bromus diandrus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA
"Bromus rubens"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Carex breviculmis"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Carex inversa"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	2	A	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	1	NA	NA	NA	NA	NA	NA
"Carex sp."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Centaurium tenuiflorum"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	2	NA	NA	NA	NA	NA	NA
"Chamaesyce drummondii"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	2	A	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	1	NA	NA	NA	NA	A	4
"Cheilanthes sp."	NA	NA	NA	NA	NA	NA	NA	NA	A	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	32	NA	NA	A	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	1	NA	NA	A	1	NA	NA	NA	NA	NA	NA
"Chloris truncata"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Chondrilla juncea"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	1	NA	NA	NA	NA	NA	NA	NA	NA	A	1	2	NA	NA	NA	NA	NA	NA	NA	A	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Cirsium vulgare"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Crassula sieberana"	A	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	A	A	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Cymbonotus lawsonianus"	A	2	A	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	1	NA	NA	1	A	A	3	NA	NA	NA	NA	A	3	NA	NA	NA	NA	A	3	NA	NA	NA	NA	A	1	NA	NA	NA	NA	A	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	2	A	1	A	1	A	2	NA	NA	A	1	A	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	2
