PLOT_ID	QUADRAT_Direction	QUAD_ID	Tri_ela	type	year
J7	B	J7B	2	clump	2018
J7	B	J7B	2	tuft	2018
J8	B	J8B	A	cover	2018
J8	B	J8B	13	clump	2018
J8	B	J8B	62	tuft	2018
J7	C	J7C	A	cover	2018
J7	C	J7C	2	clump	2018
J7	C	J7C	3	tuft	2018
J8	A	J8A	A	cover	2018
J8	A	J8A	14	clump	2018
J8	A	J8A	32	tuft	2018
J8	C	J8C	A	cover	2018
J8	C	J8C	5	clump	2018
J8	C	J8C	10	tuft	2018
M2	A	M2A	A	cover	2018
M2	A	M2A	3	clump	2018
M2	A	M2A	22	tuft	2018
M2	B	M2B	A	cover	2018
M2	B	M2B	4	clump	2018
M2	B	M2B	9	tuft	2018
M2	C	M2C	A	cover	2018
M2	C	M2C	7	clump	2018
M2	C	M2C	24	tuft	2018
M3	A	M3A	NA	cover	2018
M3	A	M3A	NA	clump	2018
M3	A	M3A	NA	tuft	2018
M3	B	M3B	A	cover	2018
M3	B	M3B	6	clump	2018
M3	B	M3B	10	tuft	2018
M3	C	M3C	A	cover	2018
M3	C	M3C	9	clump	2018
M3	C	M3C	14	tuft	2018
M1	A	M1A	A	cover	2018
M1	A	M1A	13	clump	2018
M1	A	M1A	126	tuft	2018
M1	B	M1B	A	cover	2018
M1	B	M1B	3	clump	2018
M1	B	M1B	16	tuft	2018
M1	C	M1C	A	cover	2018
M1	C	M1C	15	clump	2018
M1	C	M1C	84	tuft	2018
M4	B	M4B	A	cover	2018
M4	B	M4B	3	clump	2018
M4	B	M4B	14	tuft	2018
M4	C	M4C	A	cover	2018
M4	C	M4C	5	clump	2018
M4	C	M4C	10	tuft	2018
M5	A	M5A	NA	cover	2018
M5	A	M5A	NA	clump	2018
M5	A	M5A	NA	tuft	2018
M5	C	M5C	A	cover	2018
M5	C	M5C	2	clump	2018
M5	C	M5C	5	tuft	2018
M7	B	M7B	NA	cover	2018
M7	B	M7B	NA	clump	2018
M7	B	M7B	NA	tuft	2018
M8	B	M8B	NA	cover	2018
M8	B	M8B	NA	clump	2018
M8	B	M8B	NA	tuft	2018
M8	C	M8C	NA	cover	2018
M8	C	M8C	NA	clump	2018
M8	C	M8C	NA	tuft	2018
M8	A	M8A	A	cover	2018
M8	A	M8A	2	clump	2018
M8	A	M8A	3	tuft	2018
M7	A	M7A	NA	cover	2018
M7	A	M7A	NA	clump	2018
M7	A	M7A	NA	tuft	2018
M5	B	M5B	NA	cover	2018
M5	B	M5B	NA	clump	2018
M5	B	M5B	NA	tuft	2018
M4	A	M4A	A	cover	2018
M4	A	M4A	10	clump	2018
M4	A	M4A	52	tuft	2018
J4	C	J4C	A	cover	2018
J4	C	J4C	20	clump	2018
J4	C	J4C	57	tuft	2018
J5	A	J5A	A	cover	2018
J5	A	J5A	1	clump	2018
J5	A	J5A	5	tuft	2018
J6	A	J6A	A	cover	2018
J6	A	J6A	7	clump	2018
J6	A	J6A	45	tuft	2018
J6	C	J6C	A	cover	2018
J6	C	J6C	1	clump	2018
J6	C	J6C	2	tuft	2018
M7	C	M7C	NA	cover	2019
M7	C	M7C	NA	clump	2019
M7	C	M7C	NA	tuft	2019
M6	A	M6A	NA	cover	2019
M6	A	M6A	NA	clump	2019
M6	A	M6A	NA	tuft	2019
M6	B	M6B	NA	cover	2019
M6	B	M6B	NA	clump	2019
M6	B	M6B	NA	tuft	2019
M6	C	M6C	NA	cover	2019
M6	C	M6C	NA	clump	2019
M6	C	M6C	NA	tuft	2019
J1	C	J1C	NA	cover	2019
J1	C	J1C	NA	clump	2019
J1	C	J1C	NA	tuft	2019
J1	B	J1B	NA	cover	2019
J1	B	J1B	NA	clump	2019
J1	B	J1B	NA	tuft	2019
J1	A	J1A	A	cover	2019
J1	A	J1A	1	clump	2019
J1	A	J1A	4	tuft	2019
J2	C	J2C	A	cover	2019
J2	C	J2C	1	clump	2019
J2	C	J2C	5	tuft	2019
J2	B	J2B	A	cover	2019
J2	B	J2B	13	clump	2019
J2	B	J2B	38	tuft	2019
J2	A	J2A	A	cover	2019
J2	A	J2A	4	clump	2019
J2	A	J2A	12	tuft	2019
J3	A	J3A	NA	cover	2019
J3	A	J3A	NA	clump	2019
J3	A	J3A	NA	tuft	2019
J3	B	J3B	NA	cover	2019
J3	B	J3B	NA	clump	2019
J3	B	J3B	NA	tuft	2019
J3	C	J3C	NA	cover	2019
J3	C	J3C	NA	clump	2019
J3	C	J3C	NA	tuft	2019
J4	B	J4B	A	cover	2019
J4	B	J4B	4	clump	2019
J4	B	J4B	5	tuft	2019
J4	A	J4A	A	cover	2019
J4	A	J4A	1	clump	2019
J4	A	J4A	1	tuft	2019
J5	B	J5B	A	cover	2019
J5	B	J5B	1	clump	2019
J5	B	J5B	2	tuft	2019
J6	B	J6B	A	cover	2019
J6	B	J6B	18	clump	2019
J6	B	J6B	83	tuft	2019
J5	C	J5C	A	cover	2019
J5	C	J5C	4	clump	2019
J5	C	J5C	4	tuft	2019
J7	A	J7A	NA	cover	2019
J7	A	J7A	NA	clump	2019
J7	A	J7A	NA	tuft	2019
J7	B	J7B	A	cover	2019
J7	B	J7B	1	clump	2019
J7	B	J7B	5	tuft	2019
J8	B	J8B	A	cover	2019
J8	B	J8B	14	clump	2019
J8	B	J8B	86	tuft	2019
J7	C	J7C	A	cover	2019
J7	C	J7C	3	clump	2019
J7	C	J7C	9	tuft	2019
J8	A	J8A	A	cover	2019
J8	A	J8A	11	clump	2019
J8	A	J8A	30	tuft	2019
J8	C	J8C	A	cover	2019
J8	C	J8C	11	clump	2019
J8	C	J8C	25	tuft	2019
M2	A	M2A	A	cover	2019
M2	A	M2A	3	clump	2019
M2	A	M2A	17	tuft	2019
M2	B	M2B	A	cover	2019
M2	B	M2B	3	clump	2019
M2	B	M2B	13	tuft	2019
M2	C	M2C	A	cover	2019
M2	C	M2C	6	clump	2019
M2	C	M2C	19	tuft	2019
M3	A	M3A	NA	cover	2019
M3	A	M3A	NA	clump	2019
M3	A	M3A	NA	tuft	2019
M3	B	M3B	NA	cover	2019
M3	B	M3B	NA	clump	2019
M3	B	M3B	NA	tuft	2019
M3	C	M3C	A	cover	2019
M3	C	M3C	2	clump	2019
M3	C	M3C	2	tuft	2019
M1	A	M1A	A	cover	2019
M1	A	M1A	12	clump	2019
M1	A	M1A	45	tuft	2019
M1	B	M1B	NA	cover	2019
M1	B	M1B	NA	clump	2019
M1	B	M1B	NA	tuft	2019
M1	C	M1C	A	cover	2019
M1	C	M1C	8	clump	2019
M1	C	M1C	36	tuft	2019
M4	B	M4B	A	cover	2019
M4	B	M4B	2	clump	2019
M4	B	M4B	11	tuft	2019
M4	C	M4C	A	cover	2019
M4	C	M4C	2	clump	2019
M4	C	M4C	7	tuft	2019
M5	A	M5A	NA	cover	2019
M5	A	M5A	NA	clump	2019
M5	A	M5A	NA	tuft	2019
M5	C	M5C	A	cover	2019
M5	C	M5C	2	clump	2019
M5	C	M5C	4	tuft	2019
M7	B	M7B	NA	cover	2019
M7	B	M7B	NA	clump	2019
M7	B	M7B	NA	tuft	2019
M8	B	M8B	A	cover	2019
M8	B	M8B	1	clump	2019
M8	B	M8B	1	tuft	2019
M8	C	M8C	NA	cover	2019
M8	C	M8C	NA	clump	2019
M8	C	M8C	NA	tuft	2019
M8	A	M8A	A	cover	2019
M8	A	M8A	2	clump	2019
M8	A	M8A	2	tuft	2019
M7	A	M7A	NA	cover	2019
M7	A	M7A	NA	clump	2019
M7	A	M7A	NA	tuft	2019
M5	B	M5B	NA	cover	2019
M5	B	M5B	NA	clump	2019
M5	B	M5B	NA	tuft	2019
M4	A	M4A	A	cover	2019
M4	A	M4A	6	clump	2019
M4	A	M4A	8	tuft	2019
J4	C	J4C	A	cover	2019
J4	C	J4C	15	clump	2019
J4	C	J4C	45	tuft	2019
J5	A	J5A	NA	cover	2019
J5	A	J5A	NA	clump	2019
J5	A	J5A	NA	tuft	2019
J6	A	J6A	A	cover	2019
J6	A	J6A	8	clump	2019
J6	A	J6A	44	tuft	2019
J6	C	J6C	A	cover	2019
J6	C	J6C	1	clump	2019
J6	C	J6C	2	tuft	2019
