PLOT_ID	M7	M7	M7	M6	M6	M6	M6	M6	M6	M6	M6	M6	J1	J1	J1	J1	J1	J1	J1	J1	J1	J2	J2	J2	J2	J2	J2	J2	J2	J2	J3	J3	J3	J3	J3	J3	J3	J3	J3	J4	J4	J4	J4	J4	J4	J5	J5	J5	J6	J6	J6	J5	J5	J5	J7	J7	J7	J7	J7	J7	J8	J8	J8	J7	J7	J7	J8	J8	J8	J8	J8	J8	M2	M2	M2	M2	M2	M2	M2	M2	M2	M3	M3	M3	M3	M3	M3	M3	M3	M3	M1	M1	M1	M1	M1	M1	M1	M1	M1	M4	M4	M4	M4	M4	M4	M5	M5	M5	M5	M5	M5	M7	M7	M7	M8	M8	M8	M8	M8	M8	M8	M8	M8	M7	M7	M7	M5	M5	M5	M4	M4	M4	J4	J4	J4	J5	J5	J5	J6	J6	J6	J6	J6	J6
"Bromus hordeaceus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	A	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	A	1	0	A	2	0	0	0	0	0	0	0	A	1	0	0	0	0	0	0	0	A	W	0	0	0	0	0	0	0	A	2	0	A	2	0	A	1	0	0	0	0	0	0	0	0	0	0	A	X	0	A	X	0	A	W	0	A	6	0	0	0	0	A	1	0	A	Y	0	A	1	0	A	3	0	0	0	0	A	1	0	0	0	0	0	0	0	A	5	0	0	0	0	0	0	0	0	0	0	0	0	0
"Carthamus lanatus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	A	1	0	A	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Centaurium erythraea"	A	7	0	A	7	0	A	W	0	A	W	0	0	0	0	A	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	A	1	0	A	4	0	0	0	0	A	5	0	0	0	0	A	2	0	0	0	0	0	0	0	A	4	0	A	W	0	A	W	0	A	9	0	A	1	0	A	W	0	A	W	0	A	W	0	A	5	0	0	0	0	0	0	0	A	6	0	A	4	0	A	W	0	A	1	0	A	6	0	A	W	0	0	0	0	A	2	0	0	0	0	A	W	0	A	W	0	0	0	0	0	0	0	A	1	0	A	4	0
"Chrysocephalum apiculatum"	C	9	0	B	11	0	D	20	0	C	16	0	B	22	0	A	11	0	A	10	0	A	24	0	A	20	0	C	23	0	C	17	0	C	18	0	B	13	0	B	15	0	A	4	0	A	7	0	A	7	0	A	16	0	A	11	0	A	4	0	B	14	0	A	16	0	A	18	0	A	1	0	C	20	0	A	5	0	B	8	0	C	14	0	A	2	0	A	6	0	0	0	0	0	0	0	0	0	0	D	18	0	D	13	0	B	5	0	B	13	0	A	3	0	B	8	0	A	7	0	A	2	0	A	6	0	A	22	0	B	16	0	A	20	0	B	14	0	B	43	0	B	33	0
"Convolvulus angustissimus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	A	1	0	A	6	0	0	0	0	0	0	0	0	0	0	0	0	0	A	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	A	2	0	A	6	0	A	2	0	A	3	0	A	4	0	0	0	0	A	5	0	A	1	0	0	0	0	0	0	0	A	3	0	A	1	0	0	0	0	A	2	0	A	1	0	0	0	0	0	0	0	A	3	0	0	0	0	0	0	0	0	0	0	A	3	0	0	0	0	0	0	0
"Goodenia pinnatifida"	0	0	0	A	18	0	A	14	0	A	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	A	1	0	A	56	0	A	24	0	0	0	0	0	0	0	A	1	0	A	15	0	A	26	0	A	18	0	0	0	0	0	0	0	A	1	0	A	49	0	A	2	0	A	3	0	A	1	0	A	14	0	B	112	0	A	40	0	A	6	0	A	23	0	A	34	0	A	21	0	A	14	0	0	0	0	A	12	0	A	38	0	A	3	0	A	21	0	0	0	0	0	0	0	A	18	0	0	0	0	0	0	0	0	0	0
"Hypericum perforatum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	A	21	0	A	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	A	26	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hypochaeris radicata"	A	1	0	A	7	0	A	3	0	A	2	0	A	W	0	A	8	0	A	W	0	A	W	0	A	W	0	A	11	0	A	1	0	0	0	0	A	6	0	A	W	0	A	2	0	A	8	0	B	W	0	A	W	0	A	5	0	A	14	0	A	6	0	A	6	0	A	7	0	A	3	0	B	9	0	A	W	0	A	W	0	A	6	0	A	11	0	A	12	0	C	64	0	B	45	0	A	13	0	A	3	0	A	6	0	A	7	0	A	W	0	0	0	0	A	W	0	A	7	0	A	26	0	0	0	0	A	13	0	A	16	0	A	1	0	A	14	0	A	X	0	A	14	0
"Lomandra filiformis coriacea"	0	0	0	A	2	7	A	1	1	A	1	3	A	1	2	0	0	0	A	3	10	0	0	0	A	1	8	A	3	6	0	0	0	0	0	0	0	0	0	A	2	9	0	0	0	A	5	6	A	1	4	A	9	13	A	1	3	A	3	3	A	3	11	A	4	10	A	8	9	A	3	6	0	0	0	A	2	7	A	1	1	0	0	0	0	0	0	0	0	0	A	2	3	A	15	1	A	20	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	A	1	2	0	0	0	A	2	0	0	0	0	0	0	0	0	0	0	A	4	11	A	2	3	A	3	0	A	1	11
"Medicago sp."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Oxalis perennans"	A	2	0	A	2	0	0	0	0	0	0	0	A	1	0	A	2	0	A	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	A	2	0	A	2	0	A	10	0	0	0	0	A	7	0	0	0	0	0	0	0	A	1	0	A	1	0	A	2	0	0	0	0	0	0	0	A	1	0	A	1	0	A	1	0	A	1	0	A	1	0	0	0	0	0	0	0	A	2	0	A	1	0	0	0	0	A	2	0	A	2	0	0	0	0	A	4	0	0	0	0	A	2	0	0	0	0	0	0	0	A	1	0	A	2	0	A	2	0	0	0	0	A	2	0	A	3	0
"Panicum effusum"	0	0	0	0	0	0	0	0	0	0	0	0	A	9	0	A	2	0	A	W	0	A	2	0	A	1	0	A	6	0	0	0	0	0	0	0	A	4	0	A	1	0	A	6	0	A	8	0	A	W	0	A	6	0	0	0	0	0	0	0	A	7	0	A	3	0	A	8	0	A	W	0	0	0	0	0	0	0	0	0	0	A	1	0	0	0	0	0	0	0	0	0	0	A	5	0	A	9	0	A	6	0	A	12	0	A	5	0	A	2	0	A	9	0	A	4	0	0	0	0	0	0	0	A	6	0	A	1	0	0	0	0	A	7	0	A	5	0	A	7	0	A	8	0
"Petrorhagia nanteuilii"	A	11	0	A	W	0	0	0	0	0	0	0	A	1	0	A	1	0	A	1	0	0	0	0	0	0	0	0	0	0	A	6	0	A	12	0	A	W	0	0	0	0	A	11	0	A	X	0	A	W	0	A	W	0	0	0	0	0	0	0	0	0	0	A	W	0	0	0	0	0	0	0	0	0	0	0	0	0	A	10	0	A	3	0	A	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	A	4	0	0	0	0	0	0	0	0	0	0	A	W	0	0	0	0	0	0	0	A	7	0	A	4	0	A	1	0	A	W	0
"Plantago lanceolata"	A	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	A	3	0	A	15	0	0	0	0	A	W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	A	14	0	A	2	0	A	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rytidosperma carphoides"	A	W	0	B	W	0	A	W	0	B	W	0	B	X	0	B	W	0	B	X	0	C	X	0	A	W	0	B	X	0	B	W	0	B	W	0	C	X	0	B	W	0	A	W	0	A	W	0	A	W	0	A	W	0	A	W	0	A	10	0	B	W	0	A	5	0	A	W	0	A	W	0	A	W	0	A	W	0	A	W	0	A	W	0	A	W	0	A	W	0	0	0	0	0	0	0	B	W	0	A	W	0	A	1	0	B	W	0	A	13	0	A	W	0	A	W	0	B	W	0	A	2	0	0	0	0	B	X	0	A	W	0	B	X	0	B	X	0	B	X	0	C	W	0
"Rytidosperma sp."	A	3	0	A	12	0	A	4	0	A	3	0	A	W	0	A	3	0	0	0	0	A	W	0	A	W	0	A	4	0	B	W	0	B	W	0	0	0	0	A	W	0	0	0	0	B	W	0	A	W	0	A	W	0	B	W	0	B	W	0	A	2	0	B	W	0	A	2	0	A	4	0	A	7	0	A	5	0	A	6	0	A	W	0	A	W	0	A	3	0	A	1	0	A	2	0	0	0	0	A	5	0	A	7	0	A	5	0	A	8	0	A	7	0	A	6	0	A	W	0	A	W	0	A	W	0	A	4	0	A	W	0	0	0	0	A	1	0	A	1	0	A	2	0
"Trifolium arvense"	A	3	0	A	4	0	0	0	0	A	1	0	A	9	0	A	5	0	A	4	0	0	0	0	A	2	0	0	0	0	0	0	0	A	2	0	A	1	0	0	0	0	A	7	0	A	7	0	0	0	0	A	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	A	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	A	2	0	0	0	0	A	2	0	A	2	0	A	4	0	A	2	0	A	3	0	A	2	0	A	4	0	A	12	0	A	2	0	A	4	0	A	2	0	0	0	0	0	0	0
"Trifolium campestre"	A	15	0	A	5	0	A	7	0	A	5	0	0	0	0	0	0	0	A	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	A	2	0	0	0	0	0	0	0	A	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	A	14	0	0	0	0	0	0	0	A	4	0	A	1	0	A	7	0	0	0	0	0	0	0	0	0	0	A	12	0	A	5	0	A	13	0	A	3	0	A	5	0	A	7	0	A	1	0	A	W	0	A	12	0	A	14	0	A	16	0	A	2	0	0	0	0	0	0	0	0	0	0
"Trifolium subterraneum"	A	1	0	A	2	0	A	2	0	A	5	0	A	6	0	A	7	0	0	0	0	0	0	0	0	0	0	0	0	0	A	1	0	0	0	0	A	5	0	0	0	0	A	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	A	1	0	A	16	0	A	15	0	A	19	0	A	1	0	A	1	0	A	1	0	A	2	0	A	7	0	A	4	0	A	3	0	A	1	0	A	2	0	0	0	0	0	0	0	A	1	0	A	4	0	0	0	0	0	0	0
"Triptilodiscus pygmaeus"	A	18	0	0	0	0	0	0	0	0	0	0	A	1	0	A	8	0	A	1	0	0	0	0	0	0	0	A	2	0	0	0	0	0	0	0	0	0	0	A	25	0	A	9	0	0	0	0	A	11	0	A	6	0	0	0	0	0	0	0	A	7	0	0	0	0	A	3	0	A	4	0	0	0	0	A	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	A	2	0	0	0	0	0	0	0	0	0	0	0	0	0	A	9	0	0	0	0	0	0	0	0	0	0	A	12	0	0	0	0	0	0	0	A	23	0	0	0	0	A	1	0	0	0	0
"Vulpia sp."	A	W	0	A	Y	0	A	Y	0	A	X	0	B	Y	0	A	Y	0	A	Y	0	A	X	0	A	W	0	A	W	0	A	W	0	A	6	0	A	X	0	A	2	0	A	X	0	A	W	0	A	W	0	A	W	0	0	0	0	0	0	0	A	W	0	A	2	0	A	5	0	A	X	0	A	W	0	A	W	0	A	5	0	A	2	0	0	0	0	A	1	0	A	Y	0	A	Y	0	A	Y	0	A	W	0	A	W	0	A	X	0	A	Y	0	A	W	0	A	Y	0	A	Y	0	A	X	0	A	X	0	A	Y	0	A	X	0	A	W	0	A	Y	0	A	X	0	A	X	0
"Wahlenbergia sp."	A	9	0	A	65	0	0	0	0	0	0	0	0	0	0	A	7	0	A	3	0	0	0	0	0	0	0	0	0	0	0	0	0	A	5	0	0	0	0	A	1	0	A	12	0	0	0	0	A	32	0	0	0	0	0	0	0	A	2	0	0	0	0	0	0	0	A	1	0	A	2	0	0	0	0	A	1	0	A	12	0	0	0	0	0	0	0	0	0	0	A	1	0	0	0	0	A	2	0	0	0	0	A	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Acacia dealbata"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Acaena novae-zelandiae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Acaena ovina"	A	1	0	A	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	A	1	0	A	1	0	0	0	0	A	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	A	2	0	0	0	0	0	0	0	A	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Acetosella vulgaris"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ajuga australis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Alternanthera denticulata"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Alternanthera nana"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Alternanthera sp."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amphibromus nervosus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Anagallis arvensis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
