PLOT_ID	M7	M7	M7	M6	M6	M6	M6	M6	M6	M6	M6	M6	J1	J1	J1	J1	J1	J1	J1	J1	J1	J2	J2	J2	J2	J2	J2	J2	J2	J2	J3	J3	J3	J3	J3	J3	J3	J3	J3	J4	J4	J4	J4	J4	J4	J5	J5	J5	J6	J6	J6	J5	J5	J5	J7	J7	J7	J7	J7	J7	J8	J8	J8	J7	J7	J7	J8	J8	J8	J8	J8	J8	M2	M2	M2	M2	M2	M2	M2	M2	M2	M3	M3	M3	M3	M3	M3	M3	M3	M3	M1	M1	M1	M1	M1	M1	M1	M1	M1	M4	M4	M4	M4	M4	M4	M5	M5	M5	M5	M5	M5	M7	M7	M7	M8	M8	M8	M8	M8	M8	M8	M8	M8	M7	M7	M7	M5	M5	M5	M4	M4	M4	J4	J4	J4	J5	J5	J5	J6	J6	J6	J6	J6	J6
"Bromus hordeaceus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	W	NA	A	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	14	NA	A	1	NA	A	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	4	NA	NA	NA	NA	A	2	NA	NA	NA	NA	NA	NA	NA
"Carthamus lanatus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Centaurium erythraea"	A	4	NA	NA	NA	NA	A	11	NA	A	24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	2	NA	A	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	2	NA	A	2	NA	A	19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	25	NA	A	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	1	NA
"Chrysocephalum apiculatum"	B	20	NA	A	7	NA	C	29	NA	C	30	NA	B	32	NA	A	14	NA	NA	NA	NA	NA	NA	NA	A	23	NA	A	8	NA	A	6	NA	B	18	NA	A	13	NA	NA	NA	NA	A	3	NA	A	5	NA	A	3	NA	A	15	NA	A	2	NA	A	1	NA	A	1	NA	A	18	NA	A	16	NA	A	12	NA	A	17	NA	A	6	NA	B	15	NA	A	15	NA	B	15	NA	B	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	D	33	NA	D	32	NA	NA	NA	NA	C	28	NA	A	6	NA	B	15	NA	A	14	NA	NA	NA	NA	A	4	NA	A	17	NA	B	14	NA	A	12	NA	A	2	NA	NA	NA	NA	A	14	NA
"Convolvulus angustissimus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	1	NA	A	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	9	NA	A	6	NA	A	2	NA	A	11	NA	NA	NA	NA	A	1	NA	A	1	NA	NA	NA	NA	NA	NA	NA	A	2	NA	NA	NA	NA	NA	NA	NA	A	2	NA	NA	NA	NA	A	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	1	NA	NA	NA	NA	NA	NA	NA
"Goodenia pinnatifida"	NA	NA	NA	A	9	NA	A	17	NA	A	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	34	NA	A	27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	5	NA	A	9	NA	A	10	NA	NA	NA	NA	NA	NA	NA	A	1	NA	A	13	NA	NA	NA	NA	A	3	NA	A	3	NA	A	22	NA	B	53	NA	A	20	NA	A	10	NA	A	26	NA	A	26	NA	A	11	NA	A	21	NA	NA	NA	NA	A	11	NA	A	51	NA	A	1	NA	A	9	NA	NA	NA	NA	A	1	NA	A	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Hypericum perforatum"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	14	NA	NA	NA	NA	NA	NA	NA	A	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Hypochaeris radicata"	A	2	NA	A	1	NA	A	1	NA	A	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	3	NA	A	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	1	NA	A	2	NA	A	6	NA	A	10	NA	A	2	NA	A	8	NA	A	3	NA	NA	NA	NA	A	3	NA	A	4	NA	A	5	NA	NA	NA	NA	A	4	NA	A	5	NA	NA	NA	NA	A	27	NA	NA	NA	NA	A	14	NA	A	1	NA	A	5	NA	NA	NA	NA	A	4	NA	A	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	7	NA
"Lomandra filiformis coriacea"	NA	NA	NA	A	2	6	NA	NA	NA	A	1	3	A	1	2	NA	NA	NA	A	3	8	NA	NA	NA	NA	NA	NA	A	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	2	5	NA	NA	NA	A	5	8	A	3	5	A	5	5	A	1	6	A	2	4	A	2	11	A	4	15	A	6	13	A	6	12	NA	NA	NA	NA	NA	NA	A	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	1	2	A	1	10	A	13	64	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	3	5	A	3	5	A	2	3	A	3	6
"Medicago sp."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Oxalis perennans"	A	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	1	NA	NA	NA	NA	A	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	1	NA	A	10	NA	NA	NA	NA	NA	NA	NA	A	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	1	NA	NA	NA	NA	NA	NA	NA	A	1	NA	NA	NA	NA	A	1	NA	NA	NA	NA	A	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	2	NA	NA	NA	NA	A	2	NA	NA	NA	NA	NA	NA	NA	A	2	NA	NA	NA	NA	NA	NA	NA	A	1	NA	NA	NA	NA	NA	NA	NA	A	2	NA	A	4	NA	NA	NA	NA	A	1	NA	A	1	NA
"Panicum effusum"	NA	NA	NA	NA	NA	NA	A	3	NA	NA	NA	NA	A	W	NA	A	6	NA	A	3	NA	A	3	NA	A	2	NA	A	3	NA	NA	NA	NA	NA	NA	NA	A	6	NA	NA	NA	NA	NA	NA	NA	A	8	NA	A	W	NA	A	6	NA	NA	NA	NA	NA	NA	NA	A	1	NA	A	3	NA	A	3	NA	A	W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	2	NA	A	4	NA	NA	NA	NA	NA	NA	NA	A	7	NA	A	15	NA	A	10	NA	A	W	NA	A	1	NA	A	5	NA	A	6	NA	A	6	NA	NA	NA	NA	NA	NA	NA	A	3	NA	A	3	NA	A	5	NA	A	7	NA	A	1	NA	A	1	NA	A	7	NA
"Petrorhagia nanteuilii"	NA	NA	NA	A	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	2	NA	A	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	7	NA	A	1	NA	A	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Plantago lanceolata"	A	19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	1	NA	A	1	NA	NA	NA	NA	NA	NA	NA	A	1	NA	A	4	NA	A	5	NA	A	1	NA	A	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Rytidosperma carphoides"	A	W	NA	A	7	NA	A	W	NA	A	W	NA	B	X	NA	B	X	NA	A	W	NA	C	Y	NA	A	W	NA	A	W	NA	A	11	NA	C	X	NA	C	X	NA	B	X	NA	A	5	NA	B	W	NA	B	W	NA	B	W	NA	A	7	NA	B	W	NA	A	1	NA	B	W	NA	B	W	NA	B	W	NA	A	5	NA	B	W	NA	A	W	NA	A	3	NA	A	W	NA	A	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	W	NA	A	2	NA	A	2	NA	A	W	NA	A	W	NA	B	X	NA	B	X	NA	NA	NA	NA	NA	NA	NA	B	X	NA	A	7	NA	B	X	NA	A	2	NA	NA	NA	NA	B	W	NA
"Rytidosperma sp."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Trifolium arvense"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	2	NA	A	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Trifolium campestre"	NA	NA	NA	A	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	W	NA	NA	NA	NA	NA	NA	NA	A	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	15	NA	NA	NA	NA	A	1	NA	A	3	NA	NA	NA	NA	A	6	NA	A	1	NA	NA	NA	NA	A	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Trifolium subterraneum"	NA	NA	NA	NA	NA	NA	A	1	NA	NA	NA	NA	A	6	NA	A	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	1	NA	A	1	NA	NA	NA	NA	A	2	NA	A	3	NA	NA	NA	NA	A	15	NA	A	5	NA	A	4	NA	A	2	NA	A	3	NA	NA	NA	NA	A	2	NA	NA	NA	NA	A	11	NA	NA	NA	NA	A	3	NA	A	1	NA	A	1	NA	A	3	NA	NA	NA	NA	A	1	NA	NA	NA	NA	NA	NA	NA
"Triptilodiscus pygmaeus"	NA	NA	NA	A	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Vulpia sp."	NA	NA	NA	A	X	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	7	NA	A	W	NA	NA	NA	NA	A	1	NA	A	2	NA	A	W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	X	NA	NA	NA	NA	NA	NA	NA	A	X	NA	NA	NA	NA	NA	NA	NA	A	W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	W	NA	A	X	NA	A	4	NA	A	W	NA	NA	NA	NA	NA	NA	NA	A	X	NA	A	W	NA	NA	NA	NA	A	X	NA	NA	NA	NA	A	W	NA	A	5	NA	NA	NA	NA
